Type;InternalType;Date;Symbol;Raw Symbol;Open;High;Low;Close;Settlement Price;Volume;Open Interest;Duration (ms)
Bar;1;2003/09/26 14:00:00.000;CAC 40;FCEU3^0;2992.6097598731194;3002.397145787671;2979.0938459911195;2997.7364858283604;2997.7364858283604;47198;0;3600000
Bar;1;2003/09/26 15:00:00.000;CAC 40;FCEU3^0;2997.7364858283604;3008.456003734774;2997.7364858283604;2997.7364858283604;2997.7364858283604;21289;0;1800000
Bar;1;2003/09/29 07:00:00.000;CAC 40;FCEU3^0;2987.483033917878;3014.5148616818774;2986.5509019260157;3008.456003734774;3008.456003734774;24190;0;3600000
Bar;1;2003/09/29 08:00:00.000;CAC 40;FCEU3^0;3008.922069730705;3021.039785624912;3008.922069730705;3016.379125665602;3016.379125665602;13699;0;3600000
Bar;1;2003/09/29 09:00:00.000;CAC 40;FCEU3^0;3016.379125665602;3019.641587637119;3008.922069730705;3014.5148616818774;3014.5148616818774;9004;0;3600000
Bar;1;2003/09/29 10:00:00.000;CAC 40;FCEU3^0;3014.9809276778087;3024.7683135923603;3014.0487956859465;3020.573719628981;3020.573719628981;10385;0;3600000
Bar;1;2003/09/29 11:00:00.000;CAC 40;FCEU3^0;3020.573719628981;3020.573719628981;3007.9899377388433;3012.6505976981534;3012.6505976981534;6233;0;3600000
Bar;1;2003/09/29 12:00:00.000;CAC 40;FCEU3^0;3011.718465706291;3012.1845317022226;3002.863211783602;3003.795343775464;3003.795343775464;7363;0;3600000
Bar;1;2003/09/29 13:00:00.000;CAC 40;FCEU3^0;3003.795343775464;3005.193541763257;2994.0079578609125;2994.0079578609125;2994.0079578609125;32085;0;3600000
Bar;1;2003/09/29 14:00:00.000;CAC 40;FCEU3^0;2994.0079578609125;2998.6686178202226;2972.5689220480854;2976.2974500155333;2976.2974500155333;33473;0;3600000
Bar;1;2003/09/29 15:00:00.000;CAC 40;FCEU3^0;2976.2974500155333;2976.7635160114646;2956.2566121904993;2972.102856052154;2972.102856052154;38748;0;1800000
Bar;1;2003/09/30 07:00:00.000;CAC 40;FCEV3^0;2976.756947589975;2991.184631357218;2958.605990592475;2963.7254912840776;2963.7254912840776;9212;0;3600000
Bar;1;2003/09/30 08:00:00.000;CAC 40;FCEV3^0;2963.2600821302954;2976.756947589975;2960.9330363613853;2972.5682652059363;2972.5682652059363;4978;0;3600000
Bar;1;2003/09/30 09:00:00.000;CAC 40;FCEV3^0;2972.1028560521545;2973.9644926672827;2961.8638546689494;2965.587127899206;2965.587127899206;4012;0;3600000
Bar;1;2003/09/30 10:00:00.000;CAC 40;FCEV3^0;2964.6563095916417;2969.310401129462;2963.7254912840776;2968.84499197568;2968.84499197568;20779;0;3600000
Bar;1;2003/09/30 11:00:00.000;CAC 40;FCEV3^0;2968.84499197568;2969.775810283244;2957.675172284911;2968.379582821898;2968.379582821898;14093;0;3600000
Bar;1;2003/09/30 12:00:00.000;CAC 40;FCEV3^0;2969.775810283244;2972.5682652059363;2962.7946729765135;2965.587127899206;2965.587127899206;8721;0;3600000
Bar;1;2003/09/30 13:00:00.000;CAC 40;FCEV3^0;2964.6563095916417;2968.379582821898;2926.9581681352956;2933.0084871344625;2933.0084871344625;29652;0;3600000
Bar;1;2003/09/30 14:00:00.000;CAC 40;FCEV3^0;2933.0084871344625;2933.0084871344625;2899.499028062155;2918.115394213437;2918.115394213437;33132;0;3600000
Bar;1;2003/09/30 15:00:00.000;CAC 40;FCEV3^0;2917.6499850596547;2930.21603221177;2917.184575905873;2920.9078491361292;2920.9078491361292;13393;0;1800000
Bar;1;2003/10/01 07:00:00.000;CAC 40;FCEV3^0;2927.423577289078;2938.127987826065;2917.6499850596547;2919.511621674783;2919.511621674783;15545;0;3600000
Bar;1;2003/10/01 08:00:00.000;CAC 40;FCEV3^0;2919.977030828565;2930.21603221177;2909.73802944536;2920.9078491361292;2920.9078491361292;10065;0;3600000
Bar;1;2003/10/01 09:00:00.000;CAC 40;FCEV3^0;2920.9078491361292;2939.524215287411;2917.6499850596547;2935.3355329033725;2935.3355329033725;4400;0;3600000
Bar;1;2003/10/01 10:00:00.000;CAC 40;FCEV3^0;2935.3355329033725;2937.662578672283;2920.9078491361292;2932.54307798068;2932.54307798068;3473;0;3600000
Bar;1;2003/10/01 11:00:00.000;CAC 40;FCEV3^0;2931.612259673116;2938.593396979847;2925.0965315201674;2937.1971695185007;2937.1971695185007;1956;0;3600000
Bar;1;2003/10/01 12:00:00.000;CAC 40;FCEV3^0;2936.731760364719;2949.763216670616;2936.2663512109366;2949.297807516834;2949.297807516834;4431;0;3600000
Bar;1;2003/10/01 13:00:00.000;CAC 40;FCEV3^0;2949.763216670616;2952.5556715933085;2940.4550335949752;2943.7128976714494;2943.7128976714494;7388;0;3600000
Bar;1;2003/10/01 14:00:00.000;CAC 40;FCEV3^0;2945.1091251327957;2960.0022180538213;2935.8009420571548;2946.5053525941416;2946.5053525941416;18885;0;3600000
Bar;1;2003/10/01 15:00:00.000;CAC 40;FCEV3^0;2946.5053525941416;2973.0336743597186;2945.5745342865775;2973.0336743597186;2973.0336743597186;9784;0;1800000
Bar;1;2003/10/02 07:00:00.000;CAC 40;FCEV3^0;3004.6814968168974;3006.0777242782437;2992.1154496647823;3000.027405279077;3000.027405279077;11020;0;3600000
Bar;1;2003/10/02 08:00:00.000;CAC 40;FCEV3^0;2999.561996125295;3004.2160876631156;2988.857585588308;2997.2349503563846;2997.2349503563846;6884;0;3600000
Bar;1;2003/10/02 09:00:00.000;CAC 40;FCEV3^0;2997.2349503563846;3010.266406662282;2992.5808588185646;3000.958223586641;3000.958223586641;5904;0;3600000
